,Id,SalePrice,OverallQual,MasVnrArea,GarageArea,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,BedroomAbvGr,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,HalfBath,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
51,52,114500,6,0,528,1,6,1934,1950,3,50,RM,52,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,Y,SBrkr,816,0,360,1176,0,0,0,1,TA,Typ,1,Gd,Detchd,1985,Unf,2,TA,TA,Y,112,0,0,0,0,0,,MnPrv,Shed,400,9,2006,WD,Normal
52,53,110000,5,0,516,1,5,1963,1963,2,90,RM,110,8472,Grvl,,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,N,SBrkr,816,0,0,816,1,0,0,1,TA,Typ,0,,CarPort,1963,Unf,2,TA,TA,Y,106,0,0,0,0,0,,,,0,5,2010,WD,Normal
53,54,385000,9,0,894,0,5,1981,1987,0,20,RL,68,50271,Pave,,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,5,Gable,WdShngl,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,Y,SBrkr,1842,0,0,1842,2,0,1,1,Gd,Typ,1,Gd,Attchd,1981,Fin,3,TA,TA,Y,857,72,0,0,0,0,,,,0,11,2006,WD,Normal
54,55,130000,5,0,572,1,6,1955,1955,3,80,RL,60,7134,Pave,,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,GasA,TA,Y,SBrkr,1360,0,0,1360,0,0,0,1,TA,Min1,1,TA,Detchd,1962,Unf,2,TA,TA,Y,0,50,0,0,0,0,,MnPrv,,0,2,2007,WD,Normal
55,56,180500,6,272,576,2,7,1964,1964,3,20,RL,100,10175,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,GasA,Gd,Y,SBrkr,1425,0,0,1425,0,0,0,1,TA,Typ,1,Gd,Attchd,1964,RFn,2,TA,TA,Y,0,0,0,407,0,0,,,,0,7,2008,WD,Normal
56,57,172500,8,456,480,2,7,1999,2000,3,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,GasA,Ex,Y,SBrkr,983,756,0,1739,1,0,1,1,Gd,Typ,0,,Attchd,1999,Fin,2,TA,TA,Y,115,0,0,0,0,0,,,,0,8,2009,WD,Abnorml
57,58,196500,7,0,565,2,7,2004,2004,3,60,RL,89,11645,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,Y,SBrkr,860,860,0,1720,0,0,1,1,Gd,Typ,0,,Attchd,2004,RFn,2,TA,TA,Y,0,70,0,0,0,0,,,,0,8,2006,WD,Normal
58,59,438780,10,1031,641,3,10,2006,2006,3,60,RL,66,13682,Pave,,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,0,2945,0,0,1,1,Gd,Typ,1,Gd,BuiltIn,2006,Fin,3,TA,TA,Y,192,0,37,0,0,0,,,,0,10,2006,New,Partial
59,60,124900,5,0,352,1,4,1972,1972,2,20,RL,60,7200,Pave,,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,GasA,Ex,Y,SBrkr,780,0,0,780,0,0,0,1,TA,Typ,0,,Detchd,1973,Unf,1,TA,TA,Y,196,0,0,0,0,0,,MnPrv,,0,1,2008,WD,Normal
60,61,158000,6,0,576,1,5,2004,2004,3,20,RL,63,13072,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,GasA,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,Gd,Typ,0,,Detchd,2006,Unf,2,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2006,New,Partial
61,62,101000,5,0,288,1,6,1920,1996,3,75,RM,60,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,7,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,GasA,TA,N,SBrkr,581,530,0,1111,0,0,0,1,Fa,Typ,0,,Detchd,1935,Unf,1,TA,TA,N,0,0,144,0,0,0,,,,0,3,2007,WD,Normal
62,63,202500,8,178,484,2,6,2006,2006,2,120,RL,44,6442,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,0,1370,0,0,0,1,Gd,Typ,1,Gd,Attchd,2006,RFn,2,TA,TA,Y,120,49,0,0,0,0,,,,0,10,2007,WD,Normal
63,64,140000,7,0,480,2,9,1921,1950,3,70,RM,50,10300,Pave,,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,6,Gable,CompShg,Stucco,Stucco,None,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,GasA,Gd,Y,SBrkr,902,808,0,1710,0,0,0,1,TA,Typ,0,,Detchd,1990,Unf,2,TA,TA,Y,12,11,64,0,0,0,,GdPrv,,0,4,2010,WD,Normal
64,65,219500,7,573,645,2,8,1997,1998,3,60,RL,,9375,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,739,Unf,0,318,1057,GasA,Ex,Y,SBrkr,1057,977,0,2034,1,0,1,1,Gd,Typ,0,,Attchd,1998,RFn,2,TA,TA,Y,576,36,0,0,0,0,,GdPrv,,0,2,2009,WD,Normal
65,66,317000,8,344,852,2,9,2004,2005,4,60,RL,76,9591,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1143,1143,GasA,Ex,Y,SBrkr,1143,1330,0,2473,0,0,1,1,Gd,Typ,1,Gd,BuiltIn,2004,RFn,3,TA,TA,Y,192,151,0,0,0,0,,,,0,10,2007,WD,Normal
66,67,180000,7,287,576,2,7,1970,1989,3,20,RL,,19900,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,5,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,GasA,TA,Y,SBrkr,2207,0,0,2207,1,0,0,1,TA,Min1,1,Gd,Attchd,1970,RFn,2,TA,TA,Y,301,0,0,0,0,0,,,,0,7,2010,WD,Normal
67,68,226000,7,167,558,2,7,2003,2003,3,20,RL,72,10665,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,GasA,Ex,Y,SBrkr,1479,0,0,1479,1,0,0,1,Gd,Typ,0,,Attchd,2003,RFn,2,TA,TA,Y,144,29,0,0,0,0,,,,0,6,2007,WD,Normal
68,69,80000,4,0,220,1,4,1945,1950,2,30,RM,47,4608,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,747,747,GasA,TA,Y,SBrkr,747,0,0,747,0,0,0,1,TA,Typ,0,,Attchd,1945,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD,Normal
69,70,225000,7,0,667,2,7,1953,1953,3,50,RL,81,15593,Pave,,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,4,Gable,CompShg,BrkFace,AsbShng,None,Gd,TA,CBlock,TA,TA,No,BLQ,603,Unf,0,701,1304,GasW,TA,Y,SBrkr,1304,983,0,2287,0,0,0,1,TA,Typ,1,TA,Attchd,1953,Fin,2,TA,TA,Y,0,21,114,0,0,0,,,,0,7,2006,WD,Normal
70,71,244000,7,1115,516,2,8,1973,1973,3,20,RL,95,13651,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,GasA,Ex,Y,SBrkr,2223,0,0,2223,1,0,0,1,TA,Typ,2,Gd,Attchd,1973,Fin,2,TA,TA,Y,300,0,0,0,0,0,,,,0,2,2007,WD,Normal
71,72,129500,4,0,360,1,4,1982,2006,2,20,RL,69,7599,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,565,Unf,0,280,845,GasA,TA,Y,SBrkr,845,0,0,845,1,0,0,1,TA,Typ,0,,Detchd,1987,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2007,WD,Normal
72,73,185000,7,40,427,2,7,1998,1998,3,60,RL,74,10141,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,832,832,GasA,Gd,Y,SBrkr,885,833,0,1718,0,0,1,1,TA,Typ,1,TA,Attchd,1998,Fin,2,TA,TA,Y,0,94,0,0,291,0,,,,0,12,2009,WD,Normal
73,74,144900,5,104,490,1,6,1954,2003,3,20,RL,85,10200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,320,BLQ,362,404,1086,GasA,Gd,Y,SBrkr,1086,0,0,1086,1,0,0,1,TA,Typ,0,,Attchd,1989,Unf,2,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,5,2010,WD,Normal
74,75,107400,3,0,379,2,8,1915,1950,3,50,RM,60,5790,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,Gambrel,CompShg,VinylSd,VinylSd,None,Gd,Gd,CBlock,Fa,TA,No,Unf,0,Unf,0,840,840,GasA,Gd,N,SBrkr,840,765,0,1605,0,0,0,2,TA,Typ,0,,Detchd,1915,Unf,1,TA,TA,Y,0,0,202,0,0,0,,,,0,5,2010,WD,Normal
75,76,91000,4,0,297,1,5,1973,1973,2,180,RM,21,1596,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,5,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,Unf,0,0,462,GasA,TA,Y,SBrkr,526,462,0,988,1,0,0,1,TA,Typ,0,,BuiltIn,1973,Unf,1,TA,TA,Y,120,101,0,0,0,0,,GdWo,,0,11,2009,WD,Normal
76,77,135750,4,0,283,1,4,1956,1956,2,20,RL,,8475,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,228,Unf,0,724,952,GasA,Ex,Y,FuseA,952,0,0,952,0,0,0,1,TA,Typ,0,,Detchd,1956,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD,Normal
77,78,127000,5,0,240,1,6,1948,2001,2,50,RM,50,8635,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,BLQ,336,GLQ,41,295,672,GasA,TA,Y,SBrkr,1072,213,0,1285,1,0,0,1,TA,Min1,0,,Detchd,1948,Unf,1,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,1,2008,WD,Normal
78,79,136500,4,0,0,2,8,1968,1968,4,90,RL,72,10778,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1768,1768,GasA,TA,N,SBrkr,1768,0,0,1768,0,0,0,2,TA,Typ,0,,,,,0,,,Y,0,0,0,0,0,0,,,,0,4,2010,WD,Normal
79,80,110000,5,0,440,1,5,1910,1981,2,50,RM,60,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,440,440,GasA,Gd,Y,SBrkr,682,548,0,1230,0,0,1,1,TA,Typ,0,,Detchd,1966,Unf,2,TA,TA,Y,74,0,128,0,0,0,,MnPrv,,0,5,2009,WD,Normal
80,81,193500,6,576,509,2,8,1968,1968,4,60,RL,100,13000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,Gd,TA,No,Rec,448,Unf,0,448,896,GasA,TA,Y,SBrkr,1182,960,0,2142,0,0,1,1,Gd,Typ,1,Gd,Attchd,1968,Fin,1,TA,TA,Y,0,72,0,0,252,0,,,,0,6,2009,WD,Normal
81,82,153500,6,443,405,2,5,1998,1998,2,120,RM,32,4500,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,PConc,Ex,Gd,No,GLQ,1201,Unf,0,36,1237,GasA,Ex,Y,SBrkr,1337,0,0,1337,1,0,0,1,TA,Typ,0,,Attchd,1998,Fin,2,TA,TA,Y,0,199,0,0,0,0,,,,0,3,2006,WD,Normal
82,83,245000,8,468,758,2,6,2007,2007,3,20,RL,78,10206,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,TA,TA,PConc,Gd,TA,No,GLQ,33,Unf,0,1530,1563,GasA,Ex,Y,SBrkr,1563,0,0,1563,0,0,0,1,Gd,Typ,1,Gd,Attchd,2007,RFn,3,TA,TA,Y,144,99,0,0,0,0,,,,0,10,2008,WD,Normal
83,84,126500,5,66,461,1,6,1960,1960,3,20,RL,80,8892,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,BrkCmn,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1065,1065,GasA,Gd,Y,SBrkr,1065,0,0,1065,0,0,1,1,TA,Typ,0,,Detchd,1974,Unf,2,TA,TA,Y,74,0,0,0,0,0,,,,0,7,2007,COD,Normal
84,85,168500,7,22,400,2,7,1995,1996,3,80,RL,,8530,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,384,384,GasA,Gd,Y,SBrkr,804,670,0,1474,0,0,1,1,TA,Typ,1,TA,BuiltIn,1995,Fin,2,TA,TA,Y,120,72,0,0,0,0,,,Shed,700,5,2009,WD,Normal
85,86,260000,8,284,462,2,9,1991,1992,4,60,RL,121,16059,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,1288,1288,GasA,Ex,Y,SBrkr,1301,1116,0,2417,0,0,1,1,Gd,Typ,1,TA,Attchd,1991,Unf,2,TA,TA,Y,127,82,0,0,0,0,,,,0,4,2006,WD,Normal
86,87,174000,6,0,400,2,6,2005,2005,3,60,RL,122,11911,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,684,684,GasA,Ex,Y,SBrkr,684,876,0,1560,0,0,1,1,Gd,Typ,1,Gd,BuiltIn,2005,Fin,2,TA,TA,Y,100,38,0,0,0,0,,,,0,3,2009,WD,Normal
87,88,164500,6,76,528,2,4,2009,2009,2,160,FV,40,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,612,612,GasA,Ex,Y,SBrkr,612,612,0,1224,0,0,1,1,Gd,Typ,0,,Detchd,2009,RFn,2,TA,TA,Y,0,234,0,0,0,0,,,,0,6,2009,New,Partial
88,89,85000,3,0,0,1,6,1915,1982,2,50,C (all),105,8470,Pave,,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,2,Hip,CompShg,Plywood,Plywood,None,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1013,1013,GasA,TA,N,SBrkr,1013,0,513,1526,0,0,0,1,Fa,Typ,0,,,,,0,,,N,0,0,156,0,0,0,,MnPrv,,0,10,2009,ConLD,Abnorml
89,90,123600,4,0,0,1,5,1994,1995,3,20,RL,60,8070,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,588,Unf,0,402,990,GasA,Ex,Y,SBrkr,990,0,0,990,1,0,0,1,TA,Typ,0,,,,,0,,,Y,0,0,0,0,0,0,,,,0,8,2007,WD,Normal
90,91,109900,4,0,420,1,4,1950,1950,2,20,RL,60,7200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,FuseA,1040,0,0,1040,0,0,0,1,TA,Typ,0,,Detchd,1950,Unf,2,TA,TA,Y,0,29,0,0,0,0,,,,0,7,2006,WD,Normal
91,92,98600,5,203,480,1,6,1961,1961,2,20,RL,85,8500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,3,Hip,CompShg,HdBoard,HdBoard,BrkCmn,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,635,1235,GasA,TA,Y,SBrkr,1235,0,0,1235,0,0,0,1,TA,Typ,0,,Attchd,1961,Unf,2,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,12,2006,WD,Abnorml
92,93,163500,5,0,432,1,5,1921,2006,2,30,RL,80,13360,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,Gd,BrkTil,Gd,TA,No,ALQ,713,Unf,0,163,876,GasA,Ex,Y,SBrkr,964,0,0,964,1,0,0,1,TA,Typ,0,,Detchd,1921,Unf,2,TA,TA,Y,0,0,44,0,0,0,,,,0,8,2009,WD,Normal
93,94,133900,6,0,506,2,9,1910,1998,4,190,C (all),60,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,Hip,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,Mn,Rec,1046,Unf,0,168,1214,GasW,Ex,N,SBrkr,1260,1031,0,2291,0,1,0,2,TA,Typ,1,Gd,Detchd,1900,Unf,2,TA,TA,Y,0,0,0,0,99,0,,,,0,11,2007,WD,Normal
94,95,204750,6,0,684,2,7,1997,1997,3,60,RL,69,9337,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,TA,No,GLQ,648,Unf,0,176,824,GasA,Ex,Y,SBrkr,905,881,0,1786,1,0,1,1,Gd,Typ,0,,Attchd,1997,RFn,2,TA,TA,Y,0,162,0,0,0,0,,,,0,5,2007,WD,Normal
95,96,185000,6,68,420,2,6,1993,1993,3,60,RL,,9765,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,Ex,Gd,PConc,Gd,Gd,No,ALQ,310,Unf,0,370,680,GasA,Gd,Y,SBrkr,680,790,0,1470,0,0,1,1,TA,Typ,1,TA,BuiltIn,1993,Fin,2,TA,TA,Y,232,63,0,0,0,0,,,Shed,480,4,2009,WD,Normal
96,97,214000,7,183,472,2,6,1999,1999,3,20,RL,78,10264,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,GasA,Ex,Y,SBrkr,1588,0,0,1588,0,0,0,1,Gd,Typ,0,,Attchd,1999,RFn,2,TA,TA,Y,158,29,0,0,0,0,,,,0,8,2006,WD,Normal
97,98,94750,4,48,432,1,6,1965,1965,3,20,RL,73,10921,Pave,,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,520,Unf,0,440,960,GasA,TA,Y,FuseF,960,0,0,960,1,0,0,1,TA,Typ,0,,Attchd,1965,Fin,1,TA,TA,P,120,0,0,0,0,0,,,,0,5,2007,WD,Normal
98,99,83000,5,0,366,1,5,1920,1950,2,30,RL,85,10625,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,ALQ,108,Unf,0,350,458,GasA,Fa,N,SBrkr,835,0,0,835,0,0,0,1,TA,Typ,0,,Basment,1920,Unf,1,Fa,TA,Y,0,0,77,0,0,0,,,Shed,400,5,2010,COD,Abnorml
99,100,128950,4,0,0,1,6,1959,1959,3,20,RL,77,9320,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,569,Unf,0,381,950,GasA,Fa,Y,SBrkr,1225,0,0,1225,1,0,1,1,TA,Typ,0,,,,,0,,,Y,352,0,0,0,0,0,,,Shed,400,1,2010,WD,Normal
